                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1948,                 2.0807,                 1.4305,                0.25271,                0.27872,                0.19816,                0.08884,                 2.0556,                 2.5811,                 2.2806,             0.00066441,             0.00066441,             0.00066441
                      2,                 1.1646,                 1.7285,                 1.3956,                0.43928,                0.39804,                0.33083,                0.15026,                 1.6191,                 2.1766,                 1.9166,              0.0013091,              0.0013091,              0.0013091
                      3,                 1.1385,                 1.6657,                 1.3867,                0.57024,                0.43009,                 0.4173,                0.20007,                 1.6495,                 2.5185,                 1.9458,              0.0019318,              0.0019318,              0.0019318
                      4,                 1.1074,                 1.6318,                 1.3694,                0.66915,                0.41852,                0.46089,                0.23393,                 1.5573,                 1.7944,                 1.8484,               0.001901,               0.001901,               0.001901
                      5,                 1.0723,                 1.5871,                 1.3479,                0.56046,                0.41558,                0.42347,                0.22614,                 1.6272,                 1.8898,                 1.8585,               0.001868,               0.001868,               0.001868
                      6,                 1.0461,                 1.5531,                 1.3312,                0.66479,                0.47859,                0.51224,                 0.2757,                 1.5245,                 1.5308,                 1.7932,               0.001835,               0.001835,               0.001835
                      7,                 1.0273,                 1.5166,                 1.3208,                0.75123,                0.46521,                0.54163,                0.29508,                 1.5018,                 1.5403,                 1.8388,               0.001802,               0.001802,               0.001802
                      8,                 1.0092,                 1.4868,                 1.3097,                0.66178,                0.42654,                0.45677,                0.21919,                 1.5637,                 1.7066,                 1.8294,               0.001769,               0.001769,               0.001769
                      9,                0.99653,                 1.4785,                 1.3073,                0.59489,                0.48798,                 0.4929,                0.27323,                 1.4755,                 1.7991,                 1.7764,               0.001736,               0.001736,               0.001736
                     10,                0.98544,                 1.4607,                 1.3022,                0.67782,                0.52449,                0.55419,                0.32225,                 1.3527,                 1.4862,                   1.68,               0.001703,               0.001703,               0.001703
                     11,                0.96974,                 1.4498,                 1.2898,                0.79081,                0.50935,                 0.5958,                0.33577,                 1.4223,                 1.3078,                 1.7019,                0.00167,                0.00167,                0.00167
                     12,                0.96468,                 1.4258,                 1.2855,                0.79527,                0.52004,                0.61727,                0.34535,                 1.4768,                 1.3244,                 1.7436,               0.001637,               0.001637,               0.001637
